occupation,text_shap_abs_mean
manager,0.0026437215779764414
nurse,0.004208946589849076
developer,119201498259.57304
scientist,40954854443.20644
scientist,22957019710.939598
nurse,47829876646.69223
scientist,0.005263014635670352
engineer,831961245525.4172
scientist,3949839261.8480697
engineer,188035330769.0224
nurse,0.006898818303227531
nurse,0.005914289118050313
engineer,0.005734896940769797
nurse,0.003690164797386202
manager,0.0055198261182297014
developer,0.003666107111846378
nurse,0.004982252771418662
scientist,0.0025212922838912604
manager,173767618915.26022
developer,12929605382.588469
developer,10027414328.353424
nurse,18168812694.812275
developer,4373177733.51234
nurse,0.0038462234100298883
nurse,115435290475.0226
engineer,0.002975126202440742
scientist,118692062510.16315
engineer,0.0034586848284327808
engineer,380512921921.5797
scientist,0.0030383755463598084
developer,370818132291.2722
nurse,0.0030699452064833453
scientist,0.002680540903533299
engineer,6875022203.490695
scientist,0.002450516043830701
scientist,3949839261.8458147
scientist,0.0026122250325307226
scientist,0.002052384510168051
nurse,0.001805435736289656
manager,998737170.6777285
nurse,0.00297725018410802
developer,105024737143.58826
manager,0.0018711535283926742
scientist,0.002612377346263883
nurse,0.002601258200945488
manager,213632244621.2391
developer,3009243309.359207
engineer,116299410484.28323
developer,3009243309.3588376
developer,0.0022689062499998158
engineer,419131259576.2387
developer,1122572291755.5076
developer,0.0021980634085975548
developer,41497866523.38199
manager,0.0015229473670614418
manager,54566120655.689445
developer,0.0012869500553336446
developer,0.0019813133790623043
manager,0.0017347604040877048
developer,0.0012727131186177705
engineer,312202224413.3209
nurse,0.0019482727625285308
developer,0.001330587164717213
manager,0.0014077731677668236
manager,0.0022581297647438665
engineer,0.0016725726531341182
engineer,0.0012259188319479165
developer,0.001217039586272645
developer,0.0017579378330351532
manager,188035330769.01782
scientist,0.0013144249520156215
nurse,998737170.6765571
developer,0.001708351501523058
manager,0.0009122779229865471
engineer,0.0012624640836176257
nurse,0.001663190231407522
scientist,0.0017614579469315077
nurse,0.0012148257327368947
developer,0.0022566163790592644
scientist,0.0012510716019410407
engineer,0.001544070638009429
engineer,0.0009832470718463807
nurse,9694789630.309742
manager,0.0010231856339190553
scientist,0.0011487361846073936
manager,0.0013461450826593618
engineer,0.001578200315891829
scientist,0.0010588500619882358
manager,0.0013018128211810798
nurse,0.0018495426259835372
nurse,0.0010032063638937116
engineer,0.001464607532404359
manager,0.0009344658597424212
engineer,0.001316860945620864
manager,0.0012849615169542037
nurse,0.0011907379942185132
manager,0.0016594166791849036
nurse,0.0014307089823362203
scientist,0.001243071877409596
manager,741636264582.5419
scientist,0.0012763663315203515
manager,0.0012459773024250456
engineer,0.001143652210793988
scientist,0.0013834364586225905
developer,0.0012750060401666397
engineer,15338939757.707533
scientist,179779599.56993723
nurse,0.0023689286713301293
nurse,0.0007386177322439433
scientist,0.000901157762607668
engineer,0.0009026707748983005
developer,0.0010507902224667028
developer,0.0008642347106467378
nurse,0.0012444617135997655
scientist,0.0013515689757745667
engineer,0.0009305666829293324
nurse,0.0010360575663549089
developer,0.0010769501535785287
scientist,0.0009090784890482469
developer,0.0008508601834438078
nurse,0.0009476044566536297
developer,15338939757.70774
nurse,0.0011444829958762637
nurse,0.0008344016583367249
developer,0.0008883591540624732
scientist,0.001196206141654091
scientist,0.0012505832319543362
scientist,0.0
engineer,0.0019267005970316216
developer,0.0012490814722667391
manager,0.0013451822003113312
manager,0.0007088496240746316
manager,0.0009928549456398982
developer,0.0013227064435937315
scientist,0.0006991165331323677
manager,0.0008016445601527184
manager,0.0008966478712500034
engineer,9694789630.307783
engineer,0.0009245699015713016
nurse,0.0013014790093109055
manager,0.0008699202159129419
scientist,0.0009662710214822897
developer,0.0015320215230045652
developer,0.0013306768156804627
engineer,0.0008905117423633226
developer,0.00113389864498069
nurse,0.0005414222824255489
manager,0.0009354784477661169
manager,0.0008685103727349763
engineer,0.0012626798015514336
nurse,0.0008468696385435252
developer,94940182111.07819
developer,0.0009249727491196495
nurse,0.0005552461447700369
manager,10410553331.434881
manager,0.000775231807158174
manager,0.000745923421081849
engineer,205595357975.28488
manager,0.00117342519386828
scientist,0.0009324689920884547
manager,0.0014105334037503147
manager,0.0011783799044655255
manager,0.000779560141802016
engineer,0.0013938656926474895
developer,9694789630.307592
nurse,0.00042823255708849764
nurse,0.0006397149058623187
nurse,0.0005954605956458158
manager,0.0006795288357581633
manager,0.000840831513640275
scientist,0.0008703950901357368
